gelukm;gelukv;educm;heightm;BMIm;healthm;consm;extram;agreem;emom;autom;riskym;Agem;educv;heightv;BMIv;healthv;consv;extrav;agreev;emov;autov;riskyv;Agev
2,5;2,5;2;168;32,242062;2;-0,630024;-0,625036;-0,144843;-0,423733;0,288714;0,31999;36;1;178;25,249338;3;-0,350806;-0,380133;-0,182166;-0,449308;0,171445;0,269746;31
2;3;2;186;26,014568;3;-0,065515;-0,361278;-0,546915;0,359667;0,100101;0,025752;38;1;168;19,84127;3;-0,732721;0,595067;-0,40636;-0,343107;-0,219242;0,006459;38
1;3;2;183;25,680075;3;-0,740978;0,472616;-0,15836;0,476604;-0,4913;0,381965;24;2;178;28,405504;2;0,901065;-0,20161;0,961553;0,112499;0,704868;0,246528;36
2;3;2;196;26,551437;4;-1,277802;0,329836;-0,548776;0,317822;0,685428;0,30676;35;3;178;21,14632;3;0,881637;-0,199644;-0,560925;-0,429019;-0,318432;0,209554;34
3;3;1;172;26,365602;3;0,36497;-0,806507;-1,310015;0,315169;-0,869934;0,195858;45;1;165;26,078972;2;-0,513971;0,349181;0,45811;-1,114037;1,478856;-0,272221;38
2;2;3;180;30,864197;1;-0,863831;-1,895959;0,721488;-0,376281;0,274375;-1,305943;49;3;167;26,533758;3;-0,343277;0,06313;-0,295194;0,603436;0,375852;0,289875;32
1;1;3;183;25,381468;4;-0,352262;-0,341933;-0,277462;0,473337;0,254889;-0,188665;47;3;163;22,582708;4;-0,331378;-0,095556;-0,154639;0,019229;0,183498;-0,783369;40
1;1;2;186;25,147415;4;-1,153492;0,472124;-0,416156;0,182598;0,282688;0,5117;30;2;167;26,892323;4;-0,587527;0,45327;-0,673953;-0,453167;-1,030749;0,097375;27
1;1,5;1;180;22,222221;3;-0,165299;1,42847;-1,099831;-0,779042;-1,191564;0,427711;28;2;172;22,985397;3;-1,316658;-1,175335;0,739219;-0,957089;-0,100566;-1,928854;22
2;2,5;3;184;27,76465;3;-0,478029;-1,90514;-0,267666;0,061034;0,753079;0,40477;32;2;168;18,424036;3;-0,207068;0,311473;-0,02202;-0,219719;-0,374031;0,252505;32
2;2;3;180;27,469135;3;-0,478029;-1,335986;-0,006149;0,571179;-0,318432;0,144229;36;2;174;22,460033;4;0,348455;0,633758;-0,560925;-0,746938;-0,937585;0,066634;34
2;2;3;187;22,877405;4;-0,06333;0,18853;-0,55485;-0,512902;0,437476;0,266555;34;3;178;18,937002;3;0,767041;-0,219973;0,12461;-0,515823;-0,020862;0,439413;36
1;1;2;180;23,456791;3;-0,764048;0,349673;0,051824;0,032741;-0,106592;0,176329;46;2;168;22,321428;3;-0,743163;0,452287;-0,398425;-0,570613;-0,374031;-1,091778;28
2;2;2;181;25,335003;3;-0,455688;-0,239318;0,235776;0,845632;-0,132105;0,330618;30;1;160;21,875;3;0,059523;0,046241;-0,061203;-0,997192;0,109821;-4,286798;28
2,5;3;2;186;24,280264;3;-0,452774;-1,071738;0,997016;0,867009;0,915301;0,41784;32;3;170;20,761246;3;1,169113;0,652121;0,473981;0,474414;1,224878;0,26349;40
2;2;2;182;23,245985;3;0,635931;0,028861;0,981145;0,432533;0,462943;0,152051;40;2;163;24,088223;3;0,883094;-1,034029;0,271239;-0,059647;-0,881987;0,411947;39
2;1;2;171;22,571047;3;0,181648;0,04575;-0,806572;0,220678;0,260915;0,434744;36;2;172;24,337481;3;0,090122;0,632284;0,580934;0,253862;0,998698;-0,402792;33
2;1;2;184;32,490547;4;-1,010483;0,59605;0,243712;0,355654;-0,104306;0,215552;42;2;173;22,720438;4;0,089393;0,339017;-0,039751;-0,793061;-0,479247;0,26235;37
4;2;3;180;37,65432;2;0,594162;-1,355332;0,290831;0,314504;0,003197;0,01443;29;2;169;24,158817;3;-0,207068;0,879644;0,251647;0,203394;-0,441682;0,213489;28
2;2;2;174;31,377989;3;0,098379;0,329836;0,513164;0,9772;0,121873;-0,147382;42;2;165;20,56933;3;0,634474;0,311473;-0,509592;-0,045087;-0,361978;-0,024794;38
2;1,5;2;180;24,074074;3;-0,18764;-0,370951;-0,675813;-0,623087;-0,937585;0,353598;41;2;175;22,204082;3;-0,741707;0,064604;-0,287258;-0,465903;0,177472;0,424676;36
1,5;2;2;179;28,713211;3;-0,189097;0,329836;-0,045333;0,973909;0,673375;0,102968;40;2;178;24,618103;3;0,078951;0,311473;-0,248075;0,585195;-1,433489;0,222871;34
4;3;2;184;25,106333;0;-0,227952;-0,492911;0,37261;-0,026822;0,298434;0,245244;39;2;165;23,875114;2;1,169841;0,614413;-0,664157;-1,324409;-0,798543;0,210657;33
2,5;2;3;191;23,025684;3;0,078951;-0,219973;-0,041612;-0,197986;0,685428;-0,025157;39;3;165;19,834711;3;-0,208525;-0,096538;0,616396;-0,245102;0,264609;0,09667;38
1;1;3;194;19,396322;4;-0,88763;-0,228663;-0,164435;-0,522963;-0,286893;0,081253;34;3;170;17,99308;4;-0,732721;0,064604;0,216185;-0,05767;0,518587;0,118586;32
